Nancy	Pelosi	CA	Democrat	rep	400314
Ed	Perlmutter	CO	Democrat	rep	412192
Gary	Peters	MI	Democrat	sen	412305
Collin	Peterson	MN	Democrat	rep	400316
Pedro	Pierluisi	PR	Democrat	rep	412306
Chellie	Pingree	ME	Democrat	rep	412307
Joseph	Pitts	PA	Republican	rep	400320
Ted	Poe	TX	Republican	rep	400652
Jared	Polis	CO	Democrat	rep	412308
Mike	Pompeo	KS	Republican	rep	412431
Robert	Portman	OH	Republican	sen	400325
Bill	Posey	FL	Republican	rep	412309
David	Price	NC	Democrat	rep	400326
Tom	Price	GA	Republican	rep	400626
Mike	Quigley	IL	Democrat	rep	412331
Charles	Rangel	NY	Democrat	rep	400333
Tom	Reed	NY	Republican	rep	412393
David	Reichert	WA	Republican	rep	400660
Harry	Reid	NV	Democrat	sen	300082
James	Renacci	OH	Republican	rep	412462
Reid	Ribble	WI	Republican	rep	412489
Cedric	Richmond	LA	Democrat	rep	412432
Edward	Rigell	VA	Republican	rep	412483
Martha	Roby	AL	Republican	rep	412394
David	Roe	TN	Republican	rep	412310
Harold	Rogers	KY	Republican	rep	400340
Mike	Rogers	AL	Republican	rep	400341
Dana	Rohrabacher	CA	Republican	rep	400343
Todd	Rokita	IN	Republican	rep	412426
Thomas	Rooney	FL	Republican	rep	412311
Ileana	Ros-Lehtinen	FL	Republican	rep	400344
Peter	Roskam	IL	Republican	rep	412202
Dennis	Ross	FL	Republican	rep	412411
Lucille	Roybal-Allard	CA	Democrat	rep	400347
Edward	Royce	CA	Republican	rep	400348
Marco	Rubio	FL	Republican	sen	412491
C.	Ruppersberger	MD	Democrat	rep	400349
Bobby	Rush	IL	Democrat	rep	400350
Paul	Ryan	WI	Republican	rep	400351
Tim	Ryan	OH	Democrat	rep	400352
Gregorio	Sablan	MP	Independent	rep	412312
Loretta	Sanchez	CA	Democrat	rep	400356
John	Sarbanes	MD	Democrat	rep	412212
Steve	Scalise	LA	Republican	rep	412261
Janice	Schakowsky	IL	Democrat	rep	400360
Adam	Schiff	CA	Democrat	rep	400361
Kurt	Schrader	OR	Democrat	rep	412315
Charles	Schumer	NY	Democrat	sen	300087
David	Schweikert	AZ	Republican	rep	412399
Austin	Scott	GA	Republican	rep	412417
David	Scott	GA	Democrat	rep	400363
Robert	Scott	VA	Democrat	rep	400364
Tim	Scott	SC	Republican	sen	412471
F.	Sensenbrenner	WI	Republican	rep	400365
José	Serrano	NY	Democrat	rep	400366
Pete	Sessions	TX	Republican	rep	400367
Terri	Sewell	AL	Democrat	rep	412396
Richard	Shelby	AL	Republican	sen	300089
Brad	Sherman	CA	Democrat	rep	400371
John	Shimkus	IL	Republican	rep	400373
Bill	Shuster	PA	Republican	rep	409888
Michael	Simpson	ID	Republican	rep	400376
Albio	Sires	NJ	Democrat	rep	412186
Louise	Slaughter	NY	Democrat	rep	400378
Adam	Smith	WA	Democrat	rep	400379
Adrian	Smith	NE	Republican	rep	412217
Christopher	Smith	NJ	Republican	rep	400380
Lamar	Smith	TX	Republican	rep	400381
Jackie	Speier	CA	Democrat	rep	412259
Steve	Stivers	OH	Republican	rep	412461
Marlin	Stutzman	IN	Republican	rep	412392
Linda	Sánchez	CA	Democrat	rep	400355
Bennie	Thompson	MS	Democrat	rep	400402
Mike	Thompson	CA	Democrat	rep	400403
Glenn	Thompson	PA	Republican	rep	412317
Mac	Thornberry	TX	Republican	rep	400404
John	Thune	SD	Republican	sen	400546
Patrick	Tiberi	OH	Republican	rep	400406
Scott	Tipton	CO	Republican	rep	412405
Paul	Tonko	NY	Democrat	rep	412319
Patrick	Toomey	PA	Republican	sen	400408
Niki	Tsongas	MA	Democrat	rep	412254
Michael	Turner	OH	Republican	rep	400411
Fred	Upton	MI	Republican	rep	400414
Chris	Van Hollen	MD	Democrat	rep	400415
Nydia	Velázquez	NY	Democrat	rep	400416
Peter	Visclosky	IN	Democrat	rep	400417
David	Vitter	LA	Republican	sen	400418
Tim	Walberg	MI	Republican	rep	412213
Greg	Walden	OR	Republican	rep	400419
Timothy	Walz	MN	Democrat	rep	412214
Debbie	Wasserman Schultz	FL	Democrat	rep	400623
Maxine	Waters	CA	Democrat	rep	400422
Daniel	Webster	FL	Republican	rep	412410
Peter	Welch	VT	Democrat	rep	412239
Lynn	Westmoreland	GA	Republican	rep	400627
Ed	Whitfield	KY	Republican	rep	400431
Joe	Wilson	SC	Republican	rep	400433
Frederica	Wilson	FL	Democrat	rep	412412
